	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
0	1	2	lid	0	0	0
1	2	2	griffier	0	0	0
2	3	2	commies van staat	0	0	0
3	4	2	commies-griffier	0	0	0
4	5	2	buitengewoon lid in werkelijke dienst	0	0	0
5	6	2	secretaris	0	0	0
6	7	2	referendaris	0	0	0
7	8	2	referendaris eerste klasse	0	0	0
8	9	2	referendaris tweede klasse	0	0	0
9	10	2	voorzitter	0	0	0
10	11	2	commissaris-generaal	0	0	0
11	12	2	secretaris van staat	0	0	0
12	13	2	minister	0	0	0
13	14	2	waarnemend minister	0	0	0
14	15	2	minister a.i.	0	0	0
15	16	2	waarnemend secretaris van staat	0	0	0
16	17	2	gouverneur-generaal van de gewapende macht	0	0	0
17	18	2	waarnemend commissaris-generaal	0	0	0
18	19	2	commissaris-generaal a.i.	0	0	0
19	20	2	directeur-generaal	0	0	0
20	21	2	directeur-generaal a.i.	0	0	0
21	22	2	waarnemend directeur-generaal	0	0	0
22	23	2	postmeester-generaal	0	0	0
23	24	2	procureur-generaal	0	0	0
24	25	2	hoofdadministrateur	0	0	0
25	26	2	minister van staat	0	0	0
26	27	2	directeur	0	0	0
27	28	2	waarnemend directeur	0	0	0
28	29	2	waarnemend procureur-generaal	0	0	0
29	30	2	advocaat-generaal	0	0	0
30	31	2	waarnemend eerste griffier	0	0	0
31	32	2	kamerpresident	0	0	0
32	33	2	raad-auditeur	0	0	0
33	34	2	raadsheer	0	0	0
34	35	2	substituut-procureur-generaal	0	0	0
35	36	2	waarnemend advocaat-generaal	0	0	0
36	37	2	eerste advocaat-generaal	0	0	0
37	38	2	eerste griffier	0	0	0
38	39	2	eerste president	0	0	0
39	40	2	buitengewoon substituut-procureur-generaal	0	0	0
40	41	2	president	0	0	0
41	42	2	vice-president	0	0	0
42	43	2	rechter	0	0	0
43	44	2	substituut-officier	0	0	0
44	45	2	officier van criminele justitie	0	0	0
45	46	2	advocaat-fiscaal	0	0	0
46	47	2	substituut-advocaat-fiscaal	0	0	0
47	48	2	raad en advocaat-fiscaal-generaal	0	0	0
48	50	2	gouverneur	0	0	0
49	51	2	commissaris des konings	0	0	0
50	52	2	buitengewoon commissaris	0	0	0
51	53	2	commissaris	0	0	0
52	54	2	intendant-generaal	0	0	0
53	55	2	secretaris-generaal	0	0	0
54	56	2	raadadviseur	0	0	0
55	57	2	administrateur	0	0	0
56	58	2	hoofdambtenaar	0	0	0
57	59	2	geheim secretaris	0	0	0
58	60	2	secretaris der cijfers	0	0	0
59	61	2	secretaris-adviseur	0	0	0
60	63	2	raad	0	0	0
61	64	2	hoofddirecteur	0	0	0
62	65	2	opperdirecteur	0	0	0
